--- SIMPLEX EMULATOR MEMORY DUMP ---
Address    Hex Value  (Decimal)
-----------------------------------
[0000]    00004700   (18176)
[0001]    00000004   (4)
[0002]    FFFFFF01   (-255)
[0003]    00003D0F   (15631)
[0004]    00003C10   (15376)
[0005]    00000000   (0)
[0006]    00004200   (16896)
[0007]    00000005   (5)
[0008]    00004800   (18432)
[0009]    00004300   (17152)
[000A]    00000005   (5)
[000B]    00004700   (18176)
[000C]    00000004   (4)
[000D]    FFFFFF01   (-255)
[000E]    00004400   (17408)
[000F]    00000005   (5)
[0010]    00004300   (17152)
[0011]    00000004   (4)
[0012]    00000004   (4)
[0013]    00004500   (17664)
[0014]    00000005   (5)
[0015]    00004300   (17152)
[0016]    00000004   (4)
[0017]    00000104   (260)
[0018]    00004600   (17920)
[0019]    00000005   (5)
[001A]    00004500   (17664)
[001B]    00000004   (4)
[001C]    00004600   (17920)
[001D]    00000004   (4)
[001E]    00000007   (7)
[001F]    00000E10   (3600)
[0020]    00000D0F   (3343)
[0021]    00004600   (17920)
[0022]    00000004   (4)
[0023]    00004300   (17152)
[0024]    00000004   (4)
[0025]    00000005   (5)
[0026]    00004500   (17664)
[0027]    00000004   (4)
[0028]    00004300   (17152)
[0029]    00000004   (4)
[002A]    00000105   (261)
[002B]    00000100   (256)
[002C]    00004200   (16896)
[002D]    00000005   (5)
[002E]    00004300   (17152)
[002F]    00000004   (4)
[0030]    00000101   (257)
[0031]    00004300   (17152)
[0032]    00000005   (5)
[0033]    00004400   (17408)
[0034]    00000004   (4)
[0035]    FFFFFF01   (-255)
[0036]    00004400   (17408)
[0037]    00000005   (5)
[0038]    00004400   (17408)
[0039]    00000004   (4)
[003A]    0000020F   (527)
[003B]    00000110   (272)
[003C]    FFFFD311   (-11503)
[003D]    00004200   (16896)
[003E]    00000004   (4)
[003F]    0000010F   (271)
[0040]    FFFFC411   (-15343)
[0041]    00000012   (18)
[0042]    00000000   (0)
[0043]    0000004D   (77)
[0044]    00000000   (0)
[0045]    0000002A   (42)
[0046]    00000063   (99)
[0047]    00000006   (6)
[0048]    00000004   (4)
[0049]    00000008   (8)
[004A]    0000000F   (15)
[004B]    00000017   (23)
[004C]    0000002A   (42)
[004D]    00000063   (99)
[004E]    00000000   (0)
[004F]    00000000   (0)
[0050]    00000000   (0)
[0051]    00000000   (0)
[0052]    00000000   (0)
[0053]    00000000   (0)
[0054]    00000000   (0)
[0055]    00000000   (0)
[0056]    00000000   (0)
[0057]    00000000   (0)
[0058]    00000000   (0)
[0059]    00000000   (0)
[005A]    00000000   (0)
[005B]    00000000   (0)
[005C]    00000000   (0)
[005D]    00000000   (0)
[005E]    00000000   (0)
[005F]    00000000   (0)
[0060]    00000000   (0)
[0061]    00000000   (0)
[0062]    00000000   (0)
[0063]    00000000   (0)
[0064]    00000000   (0)
[0065]    00000000   (0)
[0066]    00000000   (0)
[0067]    00000000   (0)
[0068]    00000000   (0)
[0069]    00000000   (0)
[006A]    00000000   (0)
[006B]    00000000   (0)
[006C]    00000000   (0)
[006D]    00000000   (0)
[006E]    00000000   (0)
[006F]    00000000   (0)
[0070]    00000000   (0)
[0071]    00000000   (0)
[0072]    00000000   (0)
[0073]    00000000   (0)
[0074]    00000000   (0)
[0075]    00000000   (0)
[0076]    00000000   (0)
[0077]    00000000   (0)
[0078]    00000000   (0)
[0079]    00000000   (0)
[007A]    00000000   (0)
[007B]    00000000   (0)
[007C]    00000000   (0)
[007D]    00000000   (0)
[007E]    00000000   (0)
[007F]    00000000   (0)
[0080]    00000000   (0)
[0081]    00000000   (0)
[0082]    00000000   (0)
[0083]    00000000   (0)
[0084]    00000000   (0)
[0085]    00000000   (0)
[0086]    00000000   (0)
[0087]    00000000   (0)
[0088]    00000000   (0)
[0089]    00000000   (0)
[008A]    00000000   (0)
[008B]    00000000   (0)
[008C]    00000000   (0)
[008D]    00000000   (0)
[008E]    00000000   (0)
[008F]    00000000   (0)
[0090]    00000000   (0)
[0091]    00000000   (0)
[0092]    00000000   (0)
[0093]    00000000   (0)
[0094]    00000000   (0)
[0095]    00000000   (0)
[0096]    00000000   (0)
[0097]    00000000   (0)
[0098]    00000000   (0)
[0099]    00000000   (0)
[009A]    00000000   (0)
[009B]    00000000   (0)
[009C]    00000000   (0)
[009D]    00000000   (0)
[009E]    00000000   (0)
[009F]    00000000   (0)
[00A0]    00000000   (0)
[00A1]    00000000   (0)
[00A2]    00000000   (0)
[00A3]    00000000   (0)
[00A4]    00000000   (0)
[00A5]    00000000   (0)
[00A6]    00000000   (0)
[00A7]    00000000   (0)
[00A8]    00000000   (0)
[00A9]    00000000   (0)
[00AA]    00000000   (0)
[00AB]    00000000   (0)
[00AC]    00000000   (0)
[00AD]    00000000   (0)
[00AE]    00000000   (0)
[00AF]    00000000   (0)
[00B0]    00000000   (0)
[00B1]    00000000   (0)
[00B2]    00000000   (0)
[00B3]    00000000   (0)
[00B4]    00000000   (0)
[00B5]    00000000   (0)
[00B6]    00000000   (0)
[00B7]    00000000   (0)
[00B8]    00000000   (0)
[00B9]    00000000   (0)
[00BA]    00000000   (0)
[00BB]    00000000   (0)
[00BC]    00000000   (0)
[00BD]    00000000   (0)
[00BE]    00000000   (0)
[00BF]    00000000   (0)
[00C0]    00000000   (0)
[00C1]    00000000   (0)
[00C2]    00000000   (0)
[00C3]    00000000   (0)
[00C4]    00000000   (0)
[00C5]    00000000   (0)
[00C6]    00000000   (0)
[00C7]    00000000   (0)
[00C8]    00000000   (0)
[00C9]    00000000   (0)
[00CA]    00000000   (0)
[00CB]    00000000   (0)
[00CC]    00000000   (0)
[00CD]    00000000   (0)
[00CE]    00000000   (0)
[00CF]    00000000   (0)
[00D0]    00000000   (0)
[00D1]    00000000   (0)
[00D2]    00000000   (0)
[00D3]    00000000   (0)
[00D4]    00000000   (0)
[00D5]    00000000   (0)
[00D6]    00000000   (0)
[00D7]    00000000   (0)
[00D8]    00000000   (0)
[00D9]    00000000   (0)
[00DA]    00000000   (0)
[00DB]    00000000   (0)
[00DC]    00000000   (0)
[00DD]    00000000   (0)
[00DE]    00000000   (0)
[00DF]    00000000   (0)
[00E0]    00000000   (0)
[00E1]    00000000   (0)
[00E2]    00000000   (0)
[00E3]    00000000   (0)
[00E4]    00000000   (0)
[00E5]    00000000   (0)
[00E6]    00000000   (0)
[00E7]    00000000   (0)
[00E8]    00000000   (0)
[00E9]    00000000   (0)
[00EA]    00000000   (0)
[00EB]    00000000   (0)
[00EC]    00000000   (0)
[00ED]    00000000   (0)
[00EE]    00000000   (0)
[00EF]    00000000   (0)
[00F0]    00000000   (0)
[00F1]    00000000   (0)
[00F2]    00000000   (0)
[00F3]    00000000   (0)
[00F4]    00000000   (0)
[00F5]    00000000   (0)
[00F6]    00000000   (0)
[00F7]    00000000   (0)
[00F8]    00000000   (0)
[00F9]    00000000   (0)
[00FA]    00000000   (0)
[00FB]    00000000   (0)
[00FC]    00000000   (0)
[00FD]    00000000   (0)
[00FE]    00000000   (0)
[00FF]    00000000   (0)
[0100]    00000000   (0)
[0101]    00000000   (0)
[0102]    00000000   (0)
[0103]    00000000   (0)
[0104]    00000000   (0)
[0105]    00000000   (0)
[0106]    00000000   (0)
[0107]    00000000   (0)
[0108]    00000000   (0)
[0109]    00000000   (0)
[010A]    00000000   (0)
[010B]    00000000   (0)
[010C]    00000000   (0)
[010D]    00000000   (0)
[010E]    00000000   (0)
[010F]    00000000   (0)
[0110]    00000000   (0)
[0111]    00000000   (0)
[0112]    00000000   (0)
[0113]    00000000   (0)
[0114]    00000000   (0)
[0115]    00000000   (0)
[0116]    00000000   (0)
[0117]    00000000   (0)
[0118]    00000000   (0)
[0119]    00000000   (0)
[011A]    00000000   (0)
[011B]    00000000   (0)
[011C]    00000000   (0)
[011D]    00000000   (0)
[011E]    00000000   (0)
[011F]    00000000   (0)
[0120]    00000000   (0)
[0121]    00000000   (0)
[0122]    00000000   (0)
[0123]    00000000   (0)
[0124]    00000000   (0)
[0125]    00000000   (0)
[0126]    00000000   (0)
[0127]    00000000   (0)
[0128]    00000000   (0)
[0129]    00000000   (0)
[012A]    00000000   (0)
[012B]    00000000   (0)
[012C]    00000000   (0)
[012D]    00000000   (0)
[012E]    00000000   (0)
[012F]    00000000   (0)
[0130]    00000000   (0)
[0131]    00000000   (0)
[0132]    00000000   (0)
[0133]    00000000   (0)
[0134]    00000000   (0)
[0135]    00000000   (0)
[0136]    00000000   (0)
[0137]    00000000   (0)
[0138]    00000000   (0)
[0139]    00000000   (0)
[013A]    00000000   (0)
[013B]    00000000   (0)
[013C]    00000000   (0)
[013D]    00000000   (0)
[013E]    00000000   (0)
[013F]    00000000   (0)
[0140]    00000000   (0)
[0141]    00000000   (0)
[0142]    00000000   (0)
[0143]    00000000   (0)
[0144]    00000000   (0)
[0145]    00000000   (0)
[0146]    00000000   (0)
[0147]    00000000   (0)
[0148]    00000000   (0)
[0149]    00000000   (0)
[014A]    00000000   (0)
[014B]    00000000   (0)
[014C]    00000000   (0)
[014D]    00000000   (0)
[014E]    00000000   (0)
[014F]    00000000   (0)
[0150]    00000000   (0)
[0151]    00000000   (0)
[0152]    00000000   (0)
[0153]    00000000   (0)
[0154]    00000000   (0)
[0155]    00000000   (0)
[0156]    00000000   (0)
[0157]    00000000   (0)
[0158]    00000000   (0)
[0159]    00000000   (0)
[015A]    00000000   (0)
[015B]    00000000   (0)
[015C]    00000000   (0)
[015D]    00000000   (0)
[015E]    00000000   (0)
[015F]    00000000   (0)
[0160]    00000000   (0)
[0161]    00000000   (0)
[0162]    00000000   (0)
[0163]    00000000   (0)
[0164]    00000000   (0)
[0165]    00000000   (0)
[0166]    00000000   (0)
[0167]    00000000   (0)
[0168]    00000000   (0)
[0169]    00000000   (0)
[016A]    00000000   (0)
[016B]    00000000   (0)
[016C]    00000000   (0)
[016D]    00000000   (0)
[016E]    00000000   (0)
[016F]    00000000   (0)
[0170]    00000000   (0)
[0171]    00000000   (0)
[0172]    00000000   (0)
[0173]    00000000   (0)
[0174]    00000000   (0)
[0175]    00000000   (0)
[0176]    00000000   (0)
[0177]    00000000   (0)
[0178]    00000000   (0)
[0179]    00000000   (0)
[017A]    00000000   (0)
[017B]    00000000   (0)
[017C]    00000000   (0)
[017D]    00000000   (0)
[017E]    00000000   (0)
[017F]    00000000   (0)
[0180]    00000000   (0)
[0181]    00000000   (0)
[0182]    00000000   (0)
[0183]    00000000   (0)
[0184]    00000000   (0)
[0185]    00000000   (0)
[0186]    00000000   (0)
[0187]    00000000   (0)
[0188]    00000000   (0)
[0189]    00000000   (0)
[018A]    00000000   (0)
[018B]    00000000   (0)
[018C]    00000000   (0)
[018D]    00000000   (0)
[018E]    00000000   (0)
[018F]    00000000   (0)
[0190]    00000000   (0)
[0191]    00000000   (0)
[0192]    00000000   (0)
[0193]    00000000   (0)
[0194]    00000000   (0)
[0195]    00000000   (0)
[0196]    00000000   (0)
[0197]    00000000   (0)
[0198]    00000000   (0)
[0199]    00000000   (0)
[019A]    00000000   (0)
[019B]    00000000   (0)
[019C]    00000000   (0)
[019D]    00000000   (0)
[019E]    00000000   (0)
[019F]    00000000   (0)
[01A0]    00000000   (0)
[01A1]    00000000   (0)
[01A2]    00000000   (0)
[01A3]    00000000   (0)
[01A4]    00000000   (0)
[01A5]    00000000   (0)
[01A6]    00000000   (0)
[01A7]    00000000   (0)
[01A8]    00000000   (0)
[01A9]    00000000   (0)
[01AA]    00000000   (0)
[01AB]    00000000   (0)
[01AC]    00000000   (0)
[01AD]    00000000   (0)
[01AE]    00000000   (0)
[01AF]    00000000   (0)
[01B0]    00000000   (0)
[01B1]    00000000   (0)
[01B2]    00000000   (0)
[01B3]    00000000   (0)
[01B4]    00000000   (0)
[01B5]    00000000   (0)
[01B6]    00000000   (0)
[01B7]    00000000   (0)
[01B8]    00000000   (0)
[01B9]    00000000   (0)
[01BA]    00000000   (0)
[01BB]    00000000   (0)
[01BC]    00000000   (0)
[01BD]    00000000   (0)
[01BE]    00000000   (0)
[01BF]    00000000   (0)
[01C0]    00000000   (0)
[01C1]    00000000   (0)
[01C2]    00000000   (0)
[01C3]    00000000   (0)
[01C4]    00000000   (0)
[01C5]    00000000   (0)
[01C6]    00000000   (0)
[01C7]    00000000   (0)
[01C8]    00000000   (0)
[01C9]    00000000   (0)
[01CA]    00000000   (0)
[01CB]    00000000   (0)
[01CC]    00000000   (0)
[01CD]    00000000   (0)
[01CE]    00000000   (0)
[01CF]    00000000   (0)
[01D0]    00000000   (0)
[01D1]    00000000   (0)
[01D2]    00000000   (0)
[01D3]    00000000   (0)
[01D4]    00000000   (0)
[01D5]    00000000   (0)
[01D6]    00000000   (0)
[01D7]    00000000   (0)
[01D8]    00000000   (0)
[01D9]    00000000   (0)
[01DA]    00000000   (0)
[01DB]    00000000   (0)
[01DC]    00000000   (0)
[01DD]    00000000   (0)
[01DE]    00000000   (0)
[01DF]    00000000   (0)
[01E0]    00000000   (0)
[01E1]    00000000   (0)
[01E2]    00000000   (0)
[01E3]    00000000   (0)
[01E4]    00000000   (0)
[01E5]    00000000   (0)
[01E6]    00000000   (0)
[01E7]    00000000   (0)
[01E8]    00000000   (0)
[01E9]    00000000   (0)
[01EA]    00000000   (0)
[01EB]    00000000   (0)
[01EC]    00000000   (0)
[01ED]    00000000   (0)
[01EE]    00000000   (0)
[01EF]    00000000   (0)
[01F0]    00000000   (0)
[01F1]    00000000   (0)
[01F2]    00000000   (0)
[01F3]    00000000   (0)
[01F4]    00000000   (0)
[01F5]    00000000   (0)
[01F6]    00000000   (0)
[01F7]    00000000   (0)
[01F8]    00000000   (0)
[01F9]    00000000   (0)
[01FA]    00000000   (0)
[01FB]    00000000   (0)
[01FC]    00000000   (0)
[01FD]    00000000   (0)
[01FE]    00000000   (0)
[01FF]    00000000   (0)
[0200]    00000000   (0)
[0201]    00000000   (0)
[0202]    00000000   (0)
[0203]    00000000   (0)
[0204]    00000000   (0)
[0205]    00000000   (0)
[0206]    00000000   (0)
[0207]    00000000   (0)
[0208]    00000000   (0)
[0209]    00000000   (0)
[020A]    00000000   (0)
[020B]    00000000   (0)
[020C]    00000000   (0)
[020D]    00000000   (0)
[020E]    00000000   (0)
[020F]    00000000   (0)
[0210]    00000000   (0)
[0211]    00000000   (0)
[0212]    00000000   (0)
[0213]    00000000   (0)
[0214]    00000000   (0)
[0215]    00000000   (0)
[0216]    00000000   (0)
[0217]    00000000   (0)
[0218]    00000000   (0)
[0219]    00000000   (0)
[021A]    00000000   (0)
[021B]    00000000   (0)
[021C]    00000000   (0)
[021D]    00000000   (0)
[021E]    00000000   (0)
[021F]    00000000   (0)
[0220]    00000000   (0)
[0221]    00000000   (0)
[0222]    00000000   (0)
[0223]    00000000   (0)
[0224]    00000000   (0)
[0225]    00000000   (0)
[0226]    00000000   (0)
[0227]    00000000   (0)
[0228]    00000000   (0)
[0229]    00000000   (0)
[022A]    00000000   (0)
[022B]    00000000   (0)
[022C]    00000000   (0)
[022D]    00000000   (0)
[022E]    00000000   (0)
[022F]    00000000   (0)
[0230]    00000000   (0)
[0231]    00000000   (0)
[0232]    00000000   (0)
[0233]    00000000   (0)
[0234]    00000000   (0)
[0235]    00000000   (0)
[0236]    00000000   (0)
[0237]    00000000   (0)
[0238]    00000000   (0)
[0239]    00000000   (0)
[023A]    00000000   (0)
[023B]    00000000   (0)
[023C]    00000000   (0)
[023D]    00000000   (0)
[023E]    00000000   (0)
[023F]    00000000   (0)
[0240]    00000000   (0)
[0241]    00000000   (0)
[0242]    00000000   (0)
[0243]    00000000   (0)
[0244]    00000000   (0)
[0245]    00000000   (0)
[0246]    00000000   (0)
[0247]    00000000   (0)
[0248]    00000000   (0)
[0249]    00000000   (0)
[024A]    00000000   (0)
[024B]    00000000   (0)
[024C]    00000000   (0)
[024D]    00000000   (0)
[024E]    00000000   (0)
[024F]    00000000   (0)
[0250]    00000000   (0)
[0251]    00000000   (0)
[0252]    00000000   (0)
[0253]    00000000   (0)
[0254]    00000000   (0)
[0255]    00000000   (0)
[0256]    00000000   (0)
[0257]    00000000   (0)
[0258]    00000000   (0)
[0259]    00000000   (0)
[025A]    00000000   (0)
[025B]    00000000   (0)
[025C]    00000000   (0)
[025D]    00000000   (0)
[025E]    00000000   (0)
[025F]    00000000   (0)
[0260]    00000000   (0)
[0261]    00000000   (0)
[0262]    00000000   (0)
[0263]    00000000   (0)
[0264]    00000000   (0)
[0265]    00000000   (0)
[0266]    00000000   (0)
[0267]    00000000   (0)
[0268]    00000000   (0)
[0269]    00000000   (0)
[026A]    00000000   (0)
[026B]    00000000   (0)
[026C]    00000000   (0)
[026D]    00000000   (0)
[026E]    00000000   (0)
[026F]    00000000   (0)
[0270]    00000000   (0)
[0271]    00000000   (0)
[0272]    00000000   (0)
[0273]    00000000   (0)
[0274]    00000000   (0)
[0275]    00000000   (0)
[0276]    00000000   (0)
[0277]    00000000   (0)
[0278]    00000000   (0)
[0279]    00000000   (0)
[027A]    00000000   (0)
[027B]    00000000   (0)
[027C]    00000000   (0)
[027D]    00000000   (0)
[027E]    00000000   (0)
[027F]    00000000   (0)
[0280]    00000000   (0)
[0281]    00000000   (0)
[0282]    00000000   (0)
[0283]    00000000   (0)
[0284]    00000000   (0)
[0285]    00000000   (0)
[0286]    00000000   (0)
[0287]    00000000   (0)
[0288]    00000000   (0)
[0289]    00000000   (0)
[028A]    00000000   (0)
[028B]    00000000   (0)
[028C]    00000000   (0)
[028D]    00000000   (0)
[028E]    00000000   (0)
[028F]    00000000   (0)
[0290]    00000000   (0)
[0291]    00000000   (0)
[0292]    00000000   (0)
[0293]    00000000   (0)
[0294]    00000000   (0)
[0295]    00000000   (0)
[0296]    00000000   (0)
[0297]    00000000   (0)
[0298]    00000000   (0)
[0299]    00000000   (0)
[029A]    00000000   (0)
[029B]    00000000   (0)
[029C]    00000000   (0)
[029D]    00000000   (0)
[029E]    00000000   (0)
[029F]    00000000   (0)
[02A0]    00000000   (0)
[02A1]    00000000   (0)
[02A2]    00000000   (0)
[02A3]    00000000   (0)
[02A4]    00000000   (0)
[02A5]    00000000   (0)
[02A6]    00000000   (0)
[02A7]    00000000   (0)
[02A8]    00000000   (0)
